fueltype,CO2,CH4,N2O
biogas,0,1.825610312,0.001513812
Biomass,1.7472,0.12636,0.0170352
Charcoal,6.20812564,2.568355768,0.10647
Coal,2.45212,0.28100208,0.0105651
Electricity,0.831933778,0.016322352,0.001013997
Ethanol,0,0.4919086,0.346437
Gas,3.724875,0.156897,0.002457
Imp_biomass,1.520808,0.2767824,0
Imp_charcoal,6.20812564,2.834703773,0.10647
Kerosene,3.5362415,0.127257324,0.121229199
Pellets,0,0.04543016,0.006552
